t,x,y,z,phi,theta,psi,u,v,w,p,q,r,u1,u2,u3,u4,u5,u6
8.799989,-0.08251695,0.1965729,0.04374092,-0.010995574287564275,-0.017627825445142728,0.18081611050661253,-0.01631001,0.02750623,0.05293912,0.000610641661520835,-0.0005927605888012278,0.00017420866047770494,80.0,80.0,80.0,80.0,80.0,80.0
8.900083,-0.08343394,0.1997396,0.04365186,-0.010995574287564275,-0.017627825445142728,0.18099064343181195,-0.0168574,0.0286311,0.05298721,0.0004944222810256348,-7.549791689302895e-05,0.00027981781793088846,80.0,80.0,80.0,80.0,80.0,80.0
8.999962,-0.08506005,0.2024678,0.04772653,-0.010821041362364843,-0.017453292519943295,0.18099064343181195,-0.01804132,0.03034586,0.05430911,0.00026993942889752575,0.000478436112274918,7.777084172460864e-05,80.0,80.0,80.0,80.0,80.0,80.0
9.100054,-0.08691569,0.2053749,0.05121349,-0.010821041362364843,-0.017453292519943295,0.18099064343181195,-0.01913357,0.03130788,0.05541157,0.0004746450826066611,0.0003733901551180605,0.0004241464241611579,80.0,80.0,80.0,80.0,80.0,80.0
9.200361,-0.08689965,0.2050624,0.05317599,-0.010995574287564275,-0.017453292519943295,0.18099064343181195,-0.01892176,0.03057786,0.05557202,0.00031485809519147786,0.00019896613846395194,0.00010093917997362234,80.0,80.0,80.0,80.0,80.0,80.0
9.300077,-0.08745733,0.2054904,0.05244313,-0.010995574287564275,-0.017453292519943295,0.18099064343181195,-0.01876788,0.03032702,0.05479573,-0.0005058044457425159,-0.00015702702845583457,0.00011332810296293124,80.0,80.0,80.0,80.0,80.0,80.0
9.399914,-0.08716116,0.2046777,0.05378643,-0.010995574287564275,-0.017453292519943295,0.18099064343181195,-0.01865688,0.02894942,0.05553356,0.00010860014564561877,0.000616081678266376,-0.0001282589932880148,80.0,80.0,80.0,80.0,80.0,80.0
9.500078,-0.08747953,0.2047356,0.05329636,-0.010995574287564275,-0.017453292519943295,0.18099064343181195,-0.0184138,0.0285203,0.05516099,0.00037791177961120213,-0.00027045342836223813,0.00022698792320349653,80.0,80.0,80.0,80.0,80.0,80.0
9.599877,-0.08580231,0.2047628,0.05383657,-0.010995574287564275,-0.017453292519943295,0.18099064343181195,-0.01743363,0.02846287,0.0550741,3.994224390432567e-05,0.00026563998481816297,8.067697200881188e-05,80.0,80.0,80.0,80.0,80.0,80.0
9.699925,-0.08500428,0.2055536,0.05601639,-0.010995574287564275,-0.017453292519943295,0.18099064343181195,-0.01687994,0.02869633,0.05494294,1.9483127893305223e-05,4.694434778369424e-05,6.206249448422424e-05,80.0,80.0,80.0,80.0,80.0,80.0
